City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,64.87,91,100,23.0,overcast clouds
1,Bredasdorp,ZA,-34.5322,20.0403,79.56,37,25,9.86,scattered clouds
2,Longyearbyen,SJ,78.2186,15.6401,19.24,63,40,19.57,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,55.06,58,75,5.75,broken clouds
4,Chokurdakh,RU,70.6333,147.9167,-39.28,100,99,2.21,overcast clouds
5,Dubbo,AU,-32.25,148.6167,55.53,94,34,8.05,scattered clouds
6,East London,ZA,-33.0153,27.9116,75.67,80,4,23.53,clear sky
7,Goderich,CA,43.7501,-81.7165,26.91,80,99,19.98,overcast clouds
8,Gao,ML,16.6362,1.637,81.37,8,0,10.16,clear sky
9,Rikitea,PF,-23.1203,-134.9692,78.78,71,91,16.08,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,-12.89,61,65,8.14,broken clouds
11,Victoria,HK,22.2855,114.1577,62.58,85,100,5.99,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,39.47,99,3,2.01,clear sky
13,Barrow,US,71.2906,-156.7887,-23.78,76,20,6.91,few clouds
14,Puerto Padre,CU,21.195,-76.6028,83.41,43,0,13.78,clear sky
15,Beringovskiy,RU,63.05,179.3167,-17.1,98,18,8.97,few clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,58,0,18.41,clear sky
17,Cherskiy,RU,68.75,161.3,-30.3,100,33,2.1,scattered clouds
18,Paamiut,GL,61.994,-49.6678,4.87,75,100,9.19,overcast clouds
19,Teknaf,BD,20.8624,92.3058,60.08,64,100,11.05,overcast clouds
20,Talnakh,RU,69.4865,88.3972,-27.08,98,56,1.43,broken clouds
21,Mahebourg,MU,-20.4081,57.7,79.25,82,40,12.66,scattered clouds
22,San Cristobal,VE,7.7669,-72.225,68.18,53,87,4.41,overcast clouds
23,Narsaq,GL,60.9167,-46.05,9.23,58,100,3.06,overcast clouds
24,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,5.75,haze
25,Busselton,AU,-33.65,115.3333,55.09,66,77,18.95,broken clouds
26,Tiksi,RU,71.6872,128.8694,-17.07,99,100,3.56,overcast clouds
27,Birao,CF,10.2849,22.7882,76.01,12,58,7.9,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,78.1,42,19,1.01,few clouds
29,Maceio,BR,-9.6658,-35.7353,89.04,51,20,16.11,few clouds
30,Katsuura,JP,35.1333,140.3,39.31,44,12,10.42,few clouds
31,Burns Lake,CA,54.2331,-125.7533,18.55,93,45,3.74,scattered clouds
32,Bengkulu,ID,-3.8004,102.2655,76.24,85,98,6.67,overcast clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,69.51,73,69,0.94,broken clouds
34,Lebu,CL,-37.6167,-73.65,67.19,61,0,13.6,clear sky
35,Vao,NC,-22.6667,167.4833,79.72,85,89,1.9,overcast clouds
36,Ivangorod,RU,59.3716,28.2162,32.23,97,100,11.97,snow
37,Hastings,GB,50.8552,0.5729,51.91,73,77,28.07,broken clouds
38,Andros Town,BS,24.7,-77.7667,77.23,64,60,16.42,broken clouds
39,Boralday,KZ,43.3578,76.8594,35.46,55,100,13.42,smoke
40,Neryungri,RU,56.6709,124.6491,-27.85,98,63,1.66,broken clouds
41,Dalby,AU,-27.1833,151.2667,57.97,86,0,1.01,clear sky
42,Oshakati,NA,-17.7833,15.6833,76.91,54,100,4.94,light rain
43,College,US,64.8569,-147.8028,-0.71,78,100,3.44,light snow
