City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bredasdorp,ZA,79.56,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
6,East London,ZA,75.67,clear sky,-33.0153,27.9116,Tu Casa
9,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Puerto Padre,CU,83.41,clear sky,21.195,-76.6028,Casa Villa Velázquez
16,Arraial Do Cabo,BR,87.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
21,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Cape Town,ZA,78.1,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
29,Maceio,BR,89.04,few clouds,-9.6658,-35.7353,Poutur Pousada
32,Bengkulu,ID,76.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Vao,NC,79.72,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
38,Andros Town,BS,77.23,broken clouds,24.7,-77.7667,Hanks place
44,Faanui,PF,81.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
52,Samana,DO,77.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
53,Port Shepstone,ZA,75.07,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
54,Humaita,BR,90.03,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
57,Ruwi,OM,73.09,clear sky,23.5996,58.5507,Al Falaj Hotel
58,Gualeguay,AR,75.88,clear sky,-33.1416,-59.3097,Faro del Lago
62,San Clemente,US,70.75,clear sky,33.427,-117.612,Casablanca Inn
65,Saldanha,ZA,73.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
71,Atuona,PF,78.67,clear sky,-9.8,-139.0333,Villa Enata
74,San Ramon De La Nueva Oran,AR,75.42,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
75,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
79,Antofagasta,CL,73.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
85,Santana Do Acarau,BR,93.51,broken clouds,-3.4606,-40.2122,Chácara Mister Juan
89,Kapaa,US,71.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Lima,PE,72.14,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
91,Richards Bay,ZA,72.55,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
