City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mende,FR,44.6667,3.5,34.52,97,100,14.63,light snow
1,Inhambane,MZ,-23.865,35.3833,76.73,81,75,14.16,broken clouds
2,Tiksi,RU,71.6872,128.8694,-16.83,98,100,6.17,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,73.96,78,98,4.9,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,60.48,34,11,1.43,few clouds
5,Bluff,NZ,-46.6,168.3333,60.8,64,0,12.01,clear sky
6,Floro,NO,61.5996,5.0328,39.16,75,75,27.63,broken clouds
7,Jamestown,US,42.097,-79.2353,31.59,54,0,7.0,clear sky
8,Butaritari,KI,3.0707,172.7902,82.6,74,86,15.48,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,79.0,71,24,19.19,few clouds
10,Busselton,AU,-33.65,115.3333,67.05,56,65,20.0,broken clouds
11,Leh,IN,34.1667,77.5833,6.73,95,100,1.95,overcast clouds
12,Saskylakh,RU,71.9167,114.0833,-26.18,100,95,3.74,overcast clouds
13,Tuatapere,NZ,-46.1333,167.6833,60.82,44,0,6.76,clear sky
14,Mar Del Plata,AR,-38.0023,-57.5575,63.88,81,40,23.0,scattered clouds
15,Ribeira Grande,PT,38.5167,-28.7,61.18,84,10,14.58,clear sky
16,Chimbote,PE,-9.0853,-78.5783,71.1,76,100,6.06,overcast clouds
17,Pipar,IN,26.3856,73.5378,56.97,56,1,4.34,clear sky
18,New Norfolk,AU,-42.7826,147.0587,77.67,31,0,1.99,clear sky
19,Caravelas,BR,-17.7125,-39.2481,76.68,85,43,6.08,scattered clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,12.66,broken clouds
21,Cape Town,ZA,-33.9258,18.4232,64.27,87,20,1.01,few clouds
22,Ushuaia,AR,-54.8,-68.3,62.26,63,75,11.5,broken clouds
23,El Salto,MX,20.3333,-104.5,56.82,57,100,4.99,overcast clouds
24,Lebu,CL,-37.6167,-73.65,59.47,91,1,15.26,clear sky
25,Kurilsk,RU,45.2333,147.8833,29.01,89,100,9.1,light snow
26,Kavaratti,IN,10.5669,72.642,77.52,67,16,6.17,few clouds
27,Pasni,PK,25.2631,63.471,69.58,84,0,4.99,clear sky
28,General Pico,AR,-35.6566,-63.7568,58.68,45,0,6.53,clear sky
29,Barra Dos Coqueiros,BR,-10.9089,-37.0386,80.62,78,40,6.91,scattered clouds
30,Lannion,FR,48.75,-3.4167,48.42,93,100,13.8,overcast clouds
31,Avarua,CK,-21.2078,-159.775,82.45,78,40,17.27,scattered clouds
32,Punta Arenas,CL,-53.15,-70.9167,51.91,87,75,6.91,broken clouds
33,Saint-Joseph,RE,-21.3667,55.6167,77.38,80,78,11.12,broken clouds
34,Hobart,AU,-42.8794,147.3294,78.03,47,20,1.01,few clouds
35,Krasnoselkup,RU,65.7,82.4667,-22.32,100,40,6.82,scattered clouds
36,Mirnyy,RU,62.5353,113.9611,-5.03,98,100,2.55,overcast clouds
37,Pangnirtung,CA,66.1451,-65.7125,-37.5,96,100,3.98,overcast clouds
38,Tura,IN,25.5198,90.2201,56.55,69,0,1.88,clear sky
39,Nome,US,64.5011,-165.4064,-0.33,55,0,13.8,clear sky
40,Hilo,US,19.7297,-155.09,75.25,88,80,1.99,broken clouds
41,Jining,CN,35.405,116.5814,42.01,1,100,2.42,overcast clouds
42,Hermanus,ZA,-34.4187,19.2345,63.9,92,87,3.89,overcast clouds
43,Santa Fe,AR,-31.6333,-60.7,61.92,75,0,7.05,clear sky
44,Souillac,MU,-20.5167,57.5167,77.38,83,40,6.91,scattered clouds
45,Dolgoye,RU,52.8,37.2167,24.35,96,100,10.02,snow
46,Pipri,IN,19.8,75.5333,59.58,72,82,0.0,haze
47,Atuona,PF,-9.8,-139.0333,78.84,74,8,16.75,clear sky
48,Rio Grande,BR,-32.035,-52.0986,64.51,61,0,14.74,clear sky
49,Aranos,NA,-24.1333,19.1167,74.84,54,99,5.37,overcast clouds
50,Barkhan,PK,29.8977,69.5256,46.0,51,0,3.18,clear sky
51,Korla,CN,41.7597,86.1469,22.6,49,73,3.51,broken clouds
52,Touros,BR,-5.1989,-35.4608,79.7,74,22,9.37,few clouds
